#t Ekin Epot Etot m1 x1 y1 z1 vx1 vy1 vz1 m2 x2 y2 z2 vx2 vy2 vz2 
9.84 3.40 -29.91 -26.51 5.00 0.32 1.04 -0.64 0.44 -0.26 -0.73 5.00 0.43 -0.06 0.62 -0.15 0.59 0.44 
9.85 3.38 -29.86 -26.48 5.00 0.33 1.04 -0.64 0.44 -0.27 -0.72 5.00 0.43 -0.05 0.63 -0.15 0.60 0.43 
9.86 3.37 -29.81 -26.44 5.00 0.33 1.03 -0.65 0.44 -0.28 -0.71 5.00 0.43 -0.04 0.63 -0.16 0.60 0.43 
9.87 3.36 -29.77 -26.41 5.00 0.34 1.03 -0.66 0.44 -0.28 -0.71 5.00 0.43 -0.04 0.63 -0.16 0.61 0.42 
9.88 3.35 -29.72 -26.37 5.00 0.34 1.03 -0.66 0.44 -0.29 -0.70 5.00 0.43 -0.03 0.64 -0.16 0.62 0.41 
9.89 3.34 -29.68 -26.34 5.00 0.35 1.03 -0.67 0.44 -0.29 -0.69 5.00 0.42 -0.03 0.64 -0.16 0.62 0.41 
9.90 3.33 -29.63 -26.31 5.00 0.35 1.02 -0.68 0.44 -0.30 -0.69 5.00 0.42 -0.02 0.65 -0.16 0.63 0.40 
9.91 3.32 -29.59 -26.28 5.00 0.36 1.02 -0.69 0.44 -0.30 -0.68 5.00 0.42 -0.01 0.65 -0.16 0.63 0.39 
9.92 3.30 -29.55 -26.24 5.00 0.36 1.02 -0.69 0.44 -0.31 -0.67 5.00 0.42 -0.01 0.65 -0.16 0.64 0.39 
9.93 3.29 -29.51 -26.21 5.00 0.36 1.01 -0.70 0.44 -0.31 -0.66 5.00 0.42 0.00 0.66 -0.16 0.64 0.38 
9.94 3.28 -29.47 -26.18 5.00 0.37 1.01 -0.71 0.44 -0.32 -0.66 5.00 0.42 0.01 0.66 -0.16 0.65 0.37 
9.95 3.27 -29.43 -26.15 5.00 0.37 1.01 -0.71 0.44 -0.32 -0.65 5.00 0.41 0.01 0.67 -0.16 0.65 0.36 
9.96 3.26 -29.39 -26.12 5.00 0.38 1.00 -0.72 0.44 -0.33 -0.64 5.00 0.41 0.02 0.67 -0.16 0.66 0.36 
9.97 3.25 -29.35 -26.09 5.00 0.38 1.00 -0.72 0.44 -0.34 -0.64 5.00 0.41 0.03 0.67 -0.16 0.66 0.35 
9.98 3.24 -29.31 -26.07 5.00 0.39 1.00 -0.73 0.44 -0.34 -0.63 5.00 0.41 0.03 0.68 -0.16 0.67 0.34 
9.99 3.24 -29.27 -26.04 5.00 0.39 0.99 -0.74 0.44 -0.34 -0.62 5.00 0.41 0.04 0.68 -0.16 0.67 0.34 
10.00 3.23 -29.24 -26.01 5.00 0.40 0.99 -0.74 0.44 -0.35 -0.62 5.00 0.41 0.05 0.68 -0.16 0.68 0.33 
10.01 3.22 -29.20 -25.99 5.00 0.40 0.99 -0.75 0.44 -0.35 -0.61 5.00 0.41 0.05 0.69 -0.16 0.68 0.32 
10.02 3.21 -29.17 -25.96 5.00 0.40 0.98 -0.76 0.44 -0.36 -0.60 5.00 0.40 0.06 0.69 -0.16 0.69 0.32 
10.03 3.20 -29.13 -25.93 5.00 0.41 0.98 -0.76 0.44 -0.36 -0.59 5.00 0.40 0.07 0.69 -0.16 0.69 0.31 
10.04 3.19 -29.10 -25.91 5.00 0.41 0.98 -0.77 0.44 -0.37 -0.59 5.00 0.40 0.07 0.70 -0.16 0.70 0.30 
10.05 3.18 -29.07 -25.88 5.00 0.42 0.97 -0.77 0.44 -0.37 -0.58 5.00 0.40 0.08 0.70 -0.16 0.70 0.29 
10.06 3.18 -29.04 -25.86 5.00 0.42 0.97 -0.78 0.44 -0.38 -0.57 5.00 0.40 0.09 0.70 -0.16 0.71 0.29 
10.07 3.17 -29.01 -25.84 5.00 0.43 0.96 -0.78 0.44 -0.38 -0.57 5.00 0.40 0.10 0.70 -0.16 0.71 0.28 
10.08 3.16 -28.97 -25.82 5.00 0.43 0.96 -0.79 0.44 -0.39 -0.56 5.00 0.39 0.10 0.71 -0.16 0.71 0.27 
10.09 3.15 -28.95 -25.79 5.00 0.44 0.96 -0.80 0.44 -0.39 -0.55 5.00 0.39 0.11 0.71 -0.16 0.72 0.26 
10.10 3.14 -28.92 -25.77 5.00 0.44 0.95 -0.80 0.44 -0.39 -0.54 5.00 0.39 0.12 0.71 -0.16 0.72 0.26 
10.11 3.14 -28.89 -25.75 5.00 0.44 0.95 -0.81 0.44 -0.40 -0.54 5.00 0.39 0.12 0.71 -0.16 0.73 0.25 
10.12 3.13 -28.86 -25.73 5.00 0.45 0.94 -0.81 0.44 -0.40 -0.53 5.00 0.39 0.13 0.72 -0.16 0.73 0.24 
10.13 3.12 -28.83 -25.71 5.00 0.45 0.94 -0.82 0.44 -0.41 -0.52 5.00 0.39 0.14 0.72 -0.16 0.73 0.24 
10.14 3.12 -28.81 -25.69 5.00 0.46 0.94 -0.82 0.44 -0.41 -0.51 5.00 0.38 0.15 0.72 -0.16 0.74 0.23 
10.15 3.11 -28.78 -25.67 5.00 0.46 0.93 -0.83 0.44 -0.41 -0.51 5.00 0.38 0.15 0.72 -0.16 0.74 0.22 
10.16 3.10 -28.76 -25.65 5.00 0.47 0.93 -0.83 0.44 -0.42 -0.50 5.00 0.38 0.16 0.73 -0.16 0.75 0.21 
10.17 3.10 -28.73 -25.64 5.00 0.47 0.92 -0.84 0.44 -0.42 -0.49 5.00 0.38 0.17 0.73 -0.16 0.75 0.21 
10.18 3.09 -28.71 -25.62 5.00 0.47 0.92 -0.84 0.44 -0.42 -0.48 5.00 0.38 0.18 0.73 -0.16 0.75 0.20 
10.19 3.09 -28.69 -25.60 5.00 0.48 0.91 -0.85 0.44 -0.43 -0.48 5.00 0.38 0.18 0.73 -0.16 0.76 0.19 
10.20 3.08 -28.67 -25.58 5.00 0.48 0.91 -0.85 0.44 -0.43 -0.47 5.00 0.38 0.19 0.73 -0.15 0.76 0.18 
10.21 3.08 -28.65 -25.57 5.00 0.49 0.91 -0.86 0.44 -0.43 -0.46 5.00 0.37 0.20 0.74 -0.15 0.76 0.18 
10.22 3.07 -28.62 -25.55 5.00 0.49 0.90 -0.86 0.44 -0.44 -0.45 5.00 0.37 0.21 0.74 -0.15 0.77 0.17 
10.23 3.07 -28.60 -25.54 5.00 0.50 0.90 -0.86 0.44 -0.44 -0.45 5.00 0.37 0.21 0.74 -0.15 0.77 0.16 
10.24 3.06 -28.59 -25.52 5.00 0.50 0.89 -0.87 0.44 -0.44 -0.44 5.00 0.37 0.22 0.74 -0.15 0.77 0.15 
10.25 3.06 -28.57 -25.51 5.00 0.51 0.89 -0.87 0.44 -0.45 -0.43 5.00 0.37 0.23 0.74 -0.15 0.78 0.15 
10.26 3.05 -28.55 -25.50 5.00 0.51 0.88 -0.88 0.43 -0.45 -0.42 5.00 0.37 0.24 0.74 -0.15 0.78 0.14 
10.27 3.05 -28.53 -25.48 5.00 0.51 0.88 -0.88 0.43 -0.45 -0.42 5.00 0.36 0.25 0.74 -0.15 0.78 0.13 
10.28 3.04 -28.52 -25.47 5.00 0.52 0.87 -0.89 0.43 -0.46 -0.41 5.00 0.36 0.25 0.75 -0.15 0.78 0.12 
10.29 3.04 -28.50 -25.46 5.00 0.52 0.87 -0.89 0.43 -0.46 -0.40 5.00 0.36 0.26 0.75 -0.15 0.79 0.12 
10.30 3.04 -28.48 -25.45 5.00 0.53 0.87 -0.89 0.43 -0.46 -0.39 5.00 0.36 0.27 0.75 -0.15 0.79 0.11 
10.31 3.03 -28.47 -25.44 5.00 0.53 0.86 -0.90 0.43 -0.46 -0.39 5.00 0.36 0.28 0.75 -0.15 0.79 0.10 
10.32 3.03 -28.46 -25.43 5.00 0.54 0.86 -0.90 0.43 -0.47 -0.38 5.00 0.36 0.28 0.75 -0.15 0.80 0.09 
10.33 3.02 -28.44 -25.42 5.00 0.54 0.85 -0.91 0.43 -0.47 -0.37 5.00 0.36 0.29 0.75 -0.15 0.80 0.09 
10.34 3.02 -28.43 -25.41 5.00 0.54 0.85 -0.91 0.43 -0.47 -0.36 5.00 0.35 0.30 0.75 -0.15 0.80 0.08 
10.35 3.02 -28.42 -25.40 5.00 0.55 0.84 -0.91 0.43 -0.48 -0.36 5.00 0.35 0.31 0.75 -0.14 0.80 0.07 
10.36 3.02 -28.41 -25.39 5.00 0.55 0.84 -0.92 0.43 -0.48 -0.35 5.00 0.35 0.32 0.75 -0.14 0.81 0.06 
10.37 3.01 -28.40 -25.38 5.00 0.56 0.83 -0.92 0.43 -0.48 -0.34 5.00 0.35 0.33 0.75 -0.14 0.81 0.05 
10.38 3.01 -28.39 -25.38 5.00 0.56 0.83 -0.92 0.42 -0.48 -0.33 5.00 0.35 0.33 0.75 -0.14 0.81 0.05 
10.39 3.01 -28.38 -25.37 5.00 0.57 0.82 -0.93 0.42 -0.48 -0.33 5.00 0.35 0.34 0.75 -0.14 0.81 0.04 
10.40 3.01 -28.37 -25.36 5.00 0.57 0.82 -0.93 0.42 -0.49 -0.32 5.00 0.35 0.35 0.75 -0.14 0.82 0.03 
10.41 3.00 -28.36 -25.36 5.00 0.57 0.81 -0.93 0.42 -0.49 -0.31 5.00 0.34 0.36 0.76 -0.14 0.82 0.02 
10.42 3.00 -28.35 -25.35 5.00 0.58 0.81 -0.94 0.42 -0.49 -0.30 5.00 0.34 0.37 0.76 -0.14 0.82 0.02 
10.43 3.00 -28.35 -25.35 5.00 0.58 0.80 -0.94 0.42 -0.49 -0.29 5.00 0.34 0.37 0.76 -0.14 0.82 0.01 
10.44 3.00 -28.34 -25.34 5.00 0.59 0.80 -0.94 0.42 -0.50 -0.29 5.00 0.34 0.38 0.76 -0.14 0.82 0.00 
10.45 3.00 -28.34 -25.34 5.00 0.59 0.79 -0.94 0.42 -0.50 -0.28 5.00 0.34 0.39 0.76 -0.13 0.83 -0.01 
10.46 3.00 -28.33 -25.34 5.00 0.59 0.79 -0.95 0.42 -0.50 -0.27 5.00 0.34 0.40 0.76 -0.13 0.83 -0.01 
10.47 2.99 -28.33 -25.33 5.00 0.60 0.78 -0.95 0.42 -0.50 -0.26 5.00 0.34 0.41 0.75 -0.13 0.83 -0.02 
10.48 2.99 -28.32 -25.33 5.00 0.60 0.78 -0.95 0.41 -0.50 -0.26 5.00 0.33 0.42 0.75 -0.13 0.83 -0.03 
10.49 2.99 -28.32 -25.33 5.00 0.61 0.77 -0.95 0.41 -0.50 -0.25 5.00 0.33 0.42 0.75 -0.13 0.83 -0.04 
10.50 2.99 -28.32 -25.33 5.00 0.61 0.77 -0.96 0.41 -0.51 -0.24 5.00 0.33 0.43 0.75 -0.13 0.83 -0.05 
10.51 2.99 -28.32 -25.33 5.00 0.62 0.76 -0.96 0.41 -0.51 -0.23 5.00 0.33 0.44 0.75 -0.13 0.84 -0.05 
10.52 2.99 -28.32 -25.33 5.00 0.62 0.76 -0.96 0.41 -0.51 -0.23 5.00 0.33 0.45 0.75 -0.13 0.84 -0.06 
10.53 2.99 -28.32 -25.33 5.00 0.62 0.75 -0.96 0.41 -0.51 -0.22 5.00 0.33 0.46 0.75 -0.12 0.84 -0.07 
10.54 2.99 -28.32 -25.33 5.00 0.63 0.75 -0.97 0.41 -0.51 -0.21 5.00 0.33 0.47 0.75 -0.12 0.84 -0.08 
10.55 2.99 -28.32 -25.33 5.00 0.63 0.74 -0.97 0.40 -0.51 -0.20 5.00 0.33 0.47 0.75 -0.12 0.84 -0.08 
10.56 2.99 -28.32 -25.33 5.00 0.64 0.74 -0.97 0.40 -0.51 -0.19 5.00 0.32 0.48 0.75 -0.12 0.84 -0.09 
10.57 2.99 -28.32 -25.33 5.00 0.64 0.73 -0.97 0.40 -0.51 -0.19 5.00 0.32 0.49 0.75 -0.12 0.84 -0.10 
10.58 2.99 -28.33 -25.33 5.00 0.64 0.73 -0.97 0.40 -0.52 -0.18 5.00 0.32 0.50 0.75 -0.12 0.84 -0.11 
10.59 2.99 -28.33 -25.33 5.00 0.65 0.72 -0.98 0.40 -0.52 -0.17 5.00 0.32 0.51 0.75 -0.12 0.85 -0.12 
10.60 2.99 -28.33 -25.34 5.00 0.65 0.72 -0.98 0.40 -0.52 -0.16 5.00 0.32 0.52 0.74 -0.11 0.85 -0.12 
10.61 3.00 -28.34 -25.34 5.00 0.66 0.71 -0.98 0.40 -0.52 -0.15 5.00 0.32 0.52 0.74 -0.11 0.85 -0.13 
10.62 3.00 -28.34 -25.35 5.00 0.66 0.71 -0.98 0.39 -0.52 -0.15 5.00 0.32 0.53 0.74 -0.11 0.85 -0.14 
10.63 3.00 -28.35 -25.35 5.00 0.66 0.70 -0.98 0.39 -0.52 -0.14 5.00 0.32 0.54 0.74 -0.11 0.85 -0.15 
10.64 3.00 -28.36 -25.36 5.00 0.67 0.70 -0.98 0.39 -0.52 -0.13 5.00 0.32 0.55 0.74 -0.11 0.85 -0.15 
10.65 3.00 -28.36 -25.36 5.00 0.67 0.69 -0.98 0.39 -0.52 -0.12 5.00 0.31 0.56 0.74 -0.11 0.85 -0.16 
10.66 3.00 -28.37 -25.37 5.00 0.68 0.69 -0.98 0.39 -0.52 -0.12 5.00 0.31 0.57 0.74 -0.11 0.85 -0.17 
10.67 3.01 -28.38 -25.38 5.00 0.68 0.68 -0.99 0.39 -0.52 -0.11 5.00 0.31 0.58 0.73 -0.10 0.85 -0.18 
10.68 3.01 -28.39 -25.38 5.00 0.68 0.68 -0.99 0.39 -0.52 -0.10 5.00 0.31 0.58 0.73 -0.10 0.85 -0.19 
10.69 3.01 -28.40 -25.39 5.00 0.69 0.67 -0.99 0.38 -0.52 -0.09 5.00 0.31 0.59 0.73 -0.10 0.85 -0.19 
10.70 3.01 -28.41 -25.40 5.00 0.69 0.66 -0.99 0.38 -0.52 -0.08 5.00 0.31 0.60 0.73 -0.10 0.85 -0.20 
10.71 3.02 -28.42 -25.41 5.00 0.69 0.66 -0.99 0.38 -0.52 -0.08 5.00 0.31 0.61 0.73 -0.10 0.85 -0.21 
10.72 3.02 -28.44 -25.42 5.00 0.70 0.65 -0.99 0.38 -0.52 -0.07 5.00 0.31 0.62 0.72 -0.09 0.85 -0.22 
10.73 3.02 -28.45 -25.43 5.00 0.70 0.65 -0.99 0.38 -0.53 -0.06 5.00 0.31 0.63 0.72 -0.09 0.85 -0.23 
10.74 3.03 -28.46 -25.44 5.00 0.71 0.64 -0.99 0.37 -0.53 -0.05 5.00 0.31 0.64 0.72 -0.09 0.85 -0.23 
10.75 3.03 -28.48 -25.45 5.00 0.71 0.64 -0.99 0.37 -0.53 -0.04 5.00 0.30 0.64 0.72 -0.09 0.85 -0.24 
10.76 3.03 -28.49 -25.46 5.00 0.71 0.63 -0.99 0.37 -0.53 -0.04 5.00 0.30 0.65 0.71 -0.09 0.85 -0.25 
10.77 3.04 -28.51 -25.47 5.00 0.72 0.63 -0.99 0.37 -0.53 -0.03 5.00 0.30 0.66 0.71 -0.09 0.85 -0.26 
10.78 3.04 -28.52 -25.48 5.00 0.72 0.62 -0.99 0.37 -0.53 -0.02 5.00 0.30 0.67 0.71 -0.08 0.85 -0.26 
10.79 3.04 -28.54 -25.49 5.00 0.72 0.62 -0.99 0.37 -0.52 -0.01 5.00 0.30 0.68 0.71 -0.08 0.85 -0.27 
10.80 3.05 -28.56 -25.51 5.00 0.73 0.61 -0.99 0.36 -0.52 -0.01 5.00 0.30 0.69 0.70 -0.08 0.85 -0.28 
10.81 3.05 -28.57 -25.52 5.00 0.73 0.61 -0.99 0.36 -0.52 0.00 5.00 0.30 0.70 0.70 -0.08 0.85 -0.29 
10.82 3.06 -28.59 -25.53 5.00 0.74 0.60 -0.99 0.36 -0.52 0.01 5.00 0.30 0.70 0.70 -0.08 0.85 -0.30 
10.83 3.06 -28.61 -25.55 5.00 0.74 0.60 -0.99 0.36 -0.52 0.02 5.00 0.30 0.71 0.69 -0.07 0.85 -0.30 
10.84 3.07 -28.63 -25.56 5.00 0.74 0.59 -0.99 0.35 -0.52 0.03 5.00 0.30 0.72 0.69 -0.07 0.85 -0.31 
10.85 3.07 -28.65 -25.58 5.00 0.75 0.59 -0.99 0.35 -0.52 0.03 5.00 0.30 0.73 0.69 -0.07 0.85 -0.32 
10.86 3.08 -28.67 -25.60 5.00 0.75 0.58 -0.99 0.35 -0.52 0.04 5.00 0.30 0.74 0.69 -0.07 0.85 -0.33 
10.87 3.08 -28.70 -25.61 5.00 0.75 0.58 -0.99 0.35 -0.52 0.05 5.00 0.30 0.75 0.68 -0.07 0.85 -0.34 
10.88 3.09 -28.72 -25.63 5.00 0.76 0.57 -0.99 0.35 -0.52 0.06 5.00 0.30 0.75 0.68 -0.06 0.85 -0.34 
10.89 3.10 -28.74 -25.65 5.00 0.76 0.57 -0.99 0.34 -0.52 0.07 5.00 0.29 0.76 0.67 -0.06 0.85 -0.35 
10.90 3.10 -28.77 -25.67 5.00 0.76 0.56 -0.99 0.34 -0.52 0.07 5.00 0.29 0.77 0.67 -0.06 0.85 -0.36 
10.91 3.11 -28.79 -25.69 5.00 0.77 0.56 -0.99 0.34 -0.52 0.08 5.00 0.29 0.78 0.67 -0.06 0.85 -0.37 
10.92 3.11 -28.82 -25.70 5.00 0.77 0.55 -0.99 0.34 -0.52 0.09 5.00 0.29 0.79 0.66 -0.05 0.84 -0.38 
10.93 3.12 -28.84 -25.72 5.00 0.77 0.54 -0.99 0.34 -0.51 0.10 5.00 0.29 0.80 0.66 -0.05 0.84 -0.38 
10.94 3.13 -28.87 -25.74 5.00 0.78 0.54 -0.99 0.33 -0.51 0.11 5.00 0.29 0.81 0.66 -0.05 0.84 -0.39 
10.95 3.13 -28.90 -25.77 5.00 0.78 0.53 -0.98 0.33 -0.51 0.11 5.00 0.29 0.81 0.65 -0.05 0.84 -0.40 
10.96 3.14 -28.93 -25.79 5.00 0.78 0.53 -0.98 0.33 -0.51 0.12 5.00 0.29 0.82 0.65 -0.05 0.84 -0.41 
10.97 3.15 -28.96 -25.81 5.00 0.79 0.52 -0.98 0.33 -0.51 0.13 5.00 0.29 0.83 0.64 -0.04 0.84 -0.42 
10.98 3.16 -28.99 -25.83 5.00 0.79 0.52 -0.98 0.32 -0.51 0.14 5.00 0.29 0.84 0.64 -0.04 0.84 -0.42 
10.99 3.16 -29.02 -25.85 5.00 0.79 0.51 -0.98 0.32 -0.51 0.14 5.00 0.29 0.85 0.64 -0.04 0.83 -0.43 
11.00 3.17 -29.05 -25.88 5.00 0.80 0.51 -0.98 0.32 -0.50 0.15 5.00 0.29 0.86 0.63 -0.04 0.83 -0.44 
11.01 3.18 -29.08 -25.90 5.00 0.80 0.50 -0.98 0.32 -0.50 0.16 5.00 0.29 0.86 0.63 -0.03 0.83 -0.45 
11.02 3.19 -29.11 -25.93 5.00 0.80 0.50 -0.97 0.31 -0.50 0.17 5.00 0.29 0.87 0.62 -0.03 0.83 -0.45 
11.03 3.19 -29.15 -25.95 5.00 0.81 0.49 -0.97 0.31 -0.50 0.18 5.00 0.29 0.88 0.62 -0.03 0.83 -0.46 
11.04 3.20 -29.18 -25.98 5.00 0.81 0.49 -0.97 0.31 -0.50 0.18 5.00 0.29 0.89 0.61 -0.03 0.83 -0.47 
11.05 3.21 -29.22 -26.00 5.00 0.81 0.48 -0.97 0.31 -0.50 0.19 5.00 0.29 0.90 0.61 -0.02 0.82 -0.48 
11.06 3.22 -29.25 -26.03 5.00 0.81 0.48 -0.97 0.30 -0.49 0.20 5.00 0.29 0.91 0.60 -0.02 0.82 -0.49 
11.07 3.23 -29.29 -26.06 5.00 0.82 0.47 -0.96 0.30 -0.49 0.21 5.00 0.29 0.91 0.60 -0.02 0.82 -0.49 
11.08 3.24 -29.33 -26.09 5.00 0.82 0.47 -0.96 0.30 -0.49 0.22 5.00 0.29 0.92 0.59 -0.01 0.82 -0.50 
11.09 3.25 -29.36 -26.11 5.00 0.82 0.46 -0.96 0.30 -0.49 0.22 5.00 0.29 0.93 0.59 -0.01 0.82 -0.51 
11.10 3.26 -29.40 -26.14 5.00 0.83 0.46 -0.96 0.29 -0.48 0.23 5.00 0.29 0.94 0.58 -0.01 0.81 -0.52 
11.11 3.27 -29.44 -26.17 5.00 0.83 0.45 -0.96 0.29 -0.48 0.24 5.00 0.29 0.95 0.58 -0.01 0.81 -0.53 
11.12 3.28 -29.48 -26.20 5.00 0.83 0.45 -0.95 0.29 -0.48 0.25 5.00 0.29 0.95 0.57 -0.00 0.81 -0.53 
11.13 3.29 -29.52 -26.23 5.00 0.84 0.45 -0.95 0.28 -0.48 0.25 5.00 0.29 0.96 0.57 -0.00 0.81 -0.54 
11.14 3.30 -29.56 -26.27 5.00 0.84 0.44 -0.95 0.28 -0.47 0.26 5.00 0.29 0.97 0.56 0.00 0.80 -0.55 
11.15 3.31 -29.61 -26.30 5.00 0.84 0.44 -0.94 0.28 -0.47 0.27 5.00 0.29 0.98 0.56 0.00 0.80 -0.56 
11.16 3.32 -29.65 -26.33 5.00 0.84 0.43 -0.94 0.28 -0.47 0.28 5.00 0.29 0.99 0.55 0.01 0.80 -0.56 
11.17 3.33 -29.69 -26.36 5.00 0.85 0.43 -0.94 0.27 -0.47 0.29 5.00 0.29 0.99 0.54 0.01 0.79 -0.57 
11.18 3.34 -29.74 -26.40 5.00 0.85 0.42 -0.94 0.27 -0.46 0.29 5.00 0.29 1.00 0.54 0.01 0.79 -0.58 
11.19 3.35 -29.79 -26.43 5.00 0.85 0.42 -0.93 0.27 -0.46 0.30 5.00 0.29 1.01 0.53 0.02 0.79 -0.59 
11.20 3.36 -29.83 -26.47 5.00 0.85 0.41 -0.93 0.26 -0.46 0.31 5.00 0.29 1.02 0.53 0.02 0.79 -0.60 
11.21 3.38 -29.88 -26.50 5.00 0.86 0.41 -0.93 0.26 -0.45 0.32 5.00 0.29 1.03 0.52 0.02 0.78 -0.60 
11.22 3.39 -29.93 -26.54 5.00 0.86 0.40 -0.92 0.26 -0.45 0.32 5.00 0.29 1.03 0.51 0.03 0.78 -0.61 
11.23 3.40 -29.98 -26.58 5.00 0.86 0.40 -0.92 0.25 -0.45 0.33 5.00 0.29 1.04 0.51 0.03 0.78 -0.62 
11.24 3.41 -30.03 -26.61 5.00 0.86 0.39 -0.92 0.25 -0.44 0.34 5.00 0.29 1.05 0.50 0.03 0.77 -0.63 
11.25 3.43 -30.08 -26.65 5.00 0.87 0.39 -0.91 0.25 -0.44 0.35 5.00 0.29 1.06 0.50 0.03 0.77 -0.63 
11.26 3.44 -30.13 -26.69 5.00 0.87 0.39 -0.91 0.25 -0.44 0.36 5.00 0.29 1.06 0.49 0.04 0.76 -0.64 
11.27 3.45 -30.18 -26.73 5.00 0.87 0.38 -0.91 0.24 -0.43 0.36 5.00 0.29 1.07 0.48 0.04 0.76 -0.65 
11.28 3.46 -30.23 -26.77 5.00 0.87 0.38 -0.90 0.24 -0.43 0.37 5.00 0.29 1.08 0.48 0.04 0.76 -0.66 
11.29 3.48 -30.29 -26.81 5.00 0.88 0.37 -0.90 0.24 -0.43 0.38 5.00 0.29 1.09 0.47 0.05 0.75 -0.66 
11.30 3.49 -30.34 -26.85 5.00 0.88 0.37 -0.89 0.23 -0.42 0.39 5.00 0.29 1.09 0.46 0.05 0.75 -0.67 
11.31 3.51 -30.40 -26.89 5.00 0.88 0.36 -0.89 0.23 -0.42 0.39 5.00 0.29 1.10 0.46 0.05 0.75 -0.68 
11.32 3.52 -30.46 -26.94 5.00 0.88 0.36 -0.89 0.23 -0.41 0.40 5.00 0.29 1.11 0.45 0.06 0.74 -0.69 
11.33 3.53 -30.51 -26.98 5.00 0.89 0.36 -0.88 0.22 -0.41 0.41 5.00 0.29 1.12 0.44 0.06 0.74 -0.69 
11.34 3.55 -30.57 -27.02 5.00 0.89 0.35 -0.88 0.22 -0.40 0.42 5.00 0.29 1.12 0.44 0.06 0.73 -0.70 
11.35 3.56 -30.63 -27.07 5.00 0.89 0.35 -0.87 0.22 -0.40 0.42 5.00 0.29 1.13 0.43 0.07 0.73 -0.71 
11.36 3.58 -30.69 -27.11 5.00 0.89 0.34 -0.87 0.21 -0.40 0.43 5.00 0.30 1.14 0.42 0.07 0.72 -0.72 
11.37 3.59 -30.75 -27.16 5.00 0.89 0.34 -0.87 0.21 -0.39 0.44 5.00 0.30 1.15 0.41 0.07 0.72 -0.72 
11.38 3.61 -30.82 -27.21 5.00 0.90 0.34 -0.86 0.21 -0.39 0.45 5.00 0.30 1.15 0.41 0.08 0.71 -0.73 
11.39 3.62 -30.88 -27.25 5.00 0.90 0.33 -0.86 0.20 -0.38 0.45 5.00 0.30 1.16 0.40 0.08 0.71 -0.74 
11.40 3.64 -30.94 -27.30 5.00 0.90 0.33 -0.85 0.20 -0.38 0.46 5.00 0.30 1.17 0.39 0.08 0.70 -0.75 
11.41 3.66 -31.01 -27.35 5.00 0.90 0.33 -0.85 0.20 -0.37 0.47 5.00 0.30 1.17 0.38 0.09 0.70 -0.75 
11.42 3.67 -31.07 -27.40 5.00 0.90 0.32 -0.84 0.19 -0.37 0.48 5.00 0.30 1.18 0.38 0.09 0.69 -0.76 
11.43 3.69 -31.14 -27.45 5.00 0.91 0.32 -0.84 0.19 -0.36 0.48 5.00 0.30 1.19 0.37 0.10 0.69 -0.77 
11.44 3.71 -31.21 -27.50 5.00 0.91 0.31 -0.83 0.18 -0.36 0.49 5.00 0.30 1.19 0.36 0.10 0.68 -0.78 
11.45 3.72 -31.28 -27.55 5.00 0.91 0.31 -0.83 0.18 -0.35 0.50 5.00 0.30 1.20 0.35 0.10 0.68 -0.78 
11.46 3.74 -31.35 -27.61 5.00 0.91 0.31 -0.82 0.18 -0.35 0.50 5.00 0.30 1.21 0.35 0.11 0.67 -0.79 
11.47 3.76 -31.42 -27.66 5.00 0.91 0.30 -0.82 0.17 -0.34 0.51 5.00 0.31 1.21 0.34 0.11 0.67 -0.80 
11.48 3.78 -31.49 -27.71 5.00 0.91 0.30 -0.81 0.17 -0.33 0.52 5.00 0.31 1.22 0.33 0.11 0.66 -0.81 
11.49 3.79 -31.56 -27.77 5.00 0.92 0.30 -0.81 0.17 -0.33 0.53 5.00 0.31 1.23 0.32 0.12 0.66 -0.81 
11.50 3.81 -31.63 -27.82 5.00 0.92 0.29 -0.80 0.16 -0.32 0.53 5.00 0.31 1.23 0.31 0.12 0.65 -0.82 
11.51 3.83 -31.71 -27.88 5.00 0.92 0.29 -0.80 0.16 -0.32 0.54 5.00 0.31 1.24 0.30 0.13 0.64 -0.83 
11.52 3.85 -31.78 -27.94 5.00 0.92 0.29 -0.79 0.15 -0.31 0.55 5.00 0.31 1.25 0.30 0.13 0.64 -0.83 
11.53 3.87 -31.86 -27.99 5.00 0.92 0.29 -0.79 0.15 -0.30 0.55 5.00 0.31 1.25 0.29 0.13 0.63 -0.84 
11.54 3.89 -31.94 -28.05 5.00 0.92 0.28 -0.78 0.15 -0.30 0.56 5.00 0.31 1.26 0.28 0.14 0.63 -0.85 
11.55 3.91 -32.02 -28.11 5.00 0.93 0.28 -0.77 0.14 -0.29 0.57 5.00 0.32 1.27 0.27 0.14 0.62 -0.85 
11.56 3.93 -32.10 -28.17 5.00 0.93 0.28 -0.77 0.14 -0.29 0.58 5.00 0.32 1.27 0.26 0.15 0.61 -0.86 
11.57 3.95 -32.18 -28.23 5.00 0.93 0.27 -0.76 0.13 -0.28 0.58 5.00 0.32 1.28 0.25 0.15 0.61 -0.87 
11.58 3.97 -32.26 -28.29 5.00 0.93 0.27 -0.76 0.13 -0.27 0.59 5.00 0.32 1.28 0.24 0.15 0.60 -0.87 
11.59 3.99 -32.34 -28.35 5.00 0.93 0.27 -0.75 0.13 -0.27 0.60 5.00 0.32 1.29 0.24 0.16 0.59 -0.88 
